row_id,listingId,title,price,area_sqft,bhk,bathrooms,parking,location,city,latitude,longitude,floor_number,total_floors,furnishing,facing,age_years,possession_category,possession_date,is_under_construction,project_name,posted_date,propertyType,saleTag,data_source
ROW_00029,SYN_01592,,6780000.0,1060.0,2.0,2,1,"Janatha Colony, Chikkanagamangala",,,,9.0,16.0,Unfurnished,East,1.0,Ready to Move,,False,,,,,Synthetic
ROW_00030,SYN_03849,,13030000.0,1065.0,3.0,3,1,"Prakruthi Nagar, Kogilu",,,,0.0,6.0,Semi Furnished,East,1.0,Ready to Move,,False,,,,,Synthetic
ROW_00031,REAL_20773675,2 BHK Flat,7400000.0,1010.0,2.0,2,1,"Dommasandra, Bengaluru",Bengaluru,12.878619,77.760918,3.0,5.0,Semi Furnished,North,9.0,Ready to Move,,False,SV Pleasanta,2026-07-25,resale,Resale,Real
ROW_00032,REAL_20681918,2 BHK Flat,9400000.0,998.0,2.0,2,1,"Bengaluru Hardware Park, Bengaluru",Bengaluru,13.14783,77.67757,5.0,30.0,Unfurnished,North,,Ready to Move,,False,Godrej Ananda,2026-09-11,resale,Resale,Real
ROW_00033,REAL_20911483,2 BHK Flat,15000000.0,1198.0,2.0,2,1,"Kannuru, Bengaluru",Bengaluru,13.08552,77.64451,2.0,25.0,Semi Furnished,East,,Ready to Move,,False,Bhartiya Nikoo Homes VI Phase 2,2026-08-13,resale,Resale,Real
ROW_00034,REAL_20807245,3 BHK Flat,13000000.0,1505.0,3.0,3,2,"Dodsworth Layout, Whitefield",Bengaluru,12.9698361261294,77.7490637273097,1.0,6.0,Semi Furnished,East,12.0,Ready to Move,,False,White Field Ville,2026-07-30,resale,Resale,Real
ROW_00035,SYN_03330,,11820000.0,742.0,2.0,2,1,"Chikkakannalli, Bengaluru",,,,6.0,9.0,Semi Furnished,East,8.2,Ready to Move,,False,,,,,Synthetic
ROW_00036,REAL_21070846,2 BHK Flat,28000000.0,1666.0,2.0,2,1,"Jaya Nagar East, Jayanagar",Bengaluru,12.940004,77.581162,8.0,9.0,Semi Furnished,North,3.0,Ready to Move,,False,Rajarajeshware Parasmani Regency,2026-09-07,resale,Resale,Real
ROW_00037,SYN_00591,,12500000.0,1279.0,3.0,3,1,"Gummanahalli, Bengaluru",,,,20.0,27.0,Fully Furnished,East,1.1,Upcoming,2026-09-08,True,,,,,Synthetic
ROW_00038,REAL_20869575,3 BHK Flat,14000000.0,1506.0,3.0,3,2,"Kattanallur, Sannatammanahalli",Bengaluru,13.050755,77.758034,,,Unfurnished,North,3.0,Ready to Move,,False,SBR Keerthi,2026-08-07,resale,Resale,Real
ROW_00039,REAL_19335774,3 BHK Flat,18000000.0,2174.0,3.0,3,1,"Dodsworth Layout, Whitefield",Bengaluru,12.969243,77.745201,2.0,5.0,Semi Furnished,East,17.0,Ready to Move,,False,Chelli Poise,2026-08-26,resale,Resale,Real
ROW_00040,SYN_01632,,18830000.0,1384.0,2.0,2,1,"Gunjur Village, Bengaluru",,,,10.0,14.0,Unfurnished,East,13.0,Ready to Move,,False,,,,,Synthetic
ROW_00041,SYN_00549,,22970000.0,1705.0,3.0,2,1,"Maruthi Nagar, Yelahanka",,,,9.0,18.0,Unfurnished,West,6.0,Ready to Move,,False,,,,,Synthetic
ROW_00042,REAL_19687785,2 BHK Flat,14900000.0,1245.0,2.0,2,1,"Doddakannelli, Bengaluru",Bengaluru,12.907241,77.699455,1.0,13.0,Semi Furnished,North,9.0,Ready to Move,,False,Mana Uber Verdant,2026-06-03,resale,Resale,Real
ROW_00043,SYN_03364,,14360000.0,1378.0,2.0,2,1,"Gunjur, Bengaluru",,,,4.0,24.0,Unfurnished,East,3.0,Ready to Move,,False,,,,,Synthetic
ROW_00044,REAL_20775791,3 BHK Flat,32400000.000000004,1800.0,3.0,3,1,"Anchepalya, Bengaluru",Bengaluru,13.05326,77.487991,22.0,30.0,Semi Furnished,East,3.0,Ready to Move,,False,Prestige Jindal City,2026-07-25,resale,Resale,Real
ROW_00045,SYN_04319,,17980000.0,1117.0,2.0,2,1,"Jayanagar Housing Society Layout, Subramanyapura",,,,13.0,19.0,Semi Furnished,East,4.3,Ready to Move,,True,,,,,Synthetic
ROW_00046,REAL_20785492,2 BHK Flat,13700000.000000002,1247.0,2.0,2,1,"Kaikondrahalli, Bengaluru",Bengaluru,12.915269,77.676628,1.0,7.0,Semi Furnished,South,18.0,Ready to Move,,False,Puravankara Purva Sunshine,2026-07-27,resale,Resale,Real
ROW_00047,REAL_20250642,3.5 BHK Flat,16000000.0,1445.0,3.5,2,2,"Narayanapura, Bengaluru",Bengaluru,13.073523,77.651138,7.0,17.0,Semi Furnished,East,4.0,Ready to Move,,False,Mantri Webcity,2026-07-30,resale,Resale,Real
ROW_00048,REAL_20325169,2 BHK Flat,14000000.0,1272.0,2.0,2,1,"Suncity Gloria, Carmelaram",Bengaluru,12.904365,77.707085,0.0,12.0,Fully Furnished,East,7.0,Ready to Move,,False,Corporate Suncity Gloria,2026-09-06,resale,Resale,Real
ROW_00049,REAL_20759160,2 BHK Flat,11000000.0,1000.0,2.0,2,2,"Phase 5, Chikkanayakanahalli, Choodasandra",Bengaluru,12.889698,77.695557,6.0,14.0,Unfurnished,East,4.0,Ready to Move,,False,Mana Macasa Emerald,2026-09-15,resale,Resale,Real
ROW_00050,REAL_20972164,3 BHK Flat,26000000.0,1500.0,3.0,3,1,"Immadihalli, Whitefield",Bengaluru,12.964447,77.757553,11.0,18.0,Semi Furnished,Unknown,5.0,Ready to Move,,False,Goyal Orchid Whitefield,2026-08-22,resale,Resale,Real
ROW_00051,REAL_20642771,3 BHK Flat,20500000.0,1715.0,3.0,3,1,"Akshaya Vana, Akshayanagar",Bengaluru,12.867588,77.615776,14.0,14.0,Unfurnished,West,4.0,Ready to Move,,False,,2026-09-10,resale,Resale,Real
ROW_00052,SYN_03286,,14790000.0,1287.0,3.0,3,2,"Manayata Tech Park, Thanisandra",,,,5.0,22.0,Semi Furnished,East,1.5,Ready to Move,,False,,,,,Synthetic
ROW_00053,REAL_21072831,3 BHK Flat,15300000.0,1350.0,3.0,3,1,"Choodasandra, Bengaluru",Bengaluru,12.8901755937108,77.6814632184979,3.0,5.0,Semi Furnished,East,5.0,Ready to Move,,False,,2026-09-08,resale,Resale,Real
ROW_00054,SYN_03129,,18880000.0,1557.0,3.0,3,1,"Sarjapur, Bengaluru",,,,4.0,4.0,Unfurnished,East,6.7,Ready to Move,,True,,,,,Synthetic
ROW_00055,REAL_21072812,2 BHK Flat,5390000.0,1205.0,2.0,2,2,"Tyayakana Halli, Bengaluru",Bengaluru,12.8332907180065,77.7806891479935,1.0,5.0,Semi Furnished,West,10.0,Ready to Move,,False,,2026-09-08,resale,Resale,Real
ROW_00056,SYN_02940,,41040000.0,2371.0,4.0,4,3,"Anchepalya, Bengaluru",,,,9.0,12.0,Unfurnished,West,4.0,Ready to Move,,False,,,,,Synthetic
ROW_00057,REAL_21142451,2 BHK Flat,12500000.0,1054.0,2.0,2,1,"Manayata Tech Park, Thanisandra",Bengaluru,13.051197,77.622772,10.0,23.0,Unfurnished,Unknown,2.0,Ready to Move,,False,Sobha Dream Gardens,2026-09-18,resale,Resale,Real
ROW_00058,SYN_04657,,18820000.0,1382.0,2.0,2,1,"Gunjur Village, Bengaluru",,,,7.0,14.0,Semi Furnished,West,1.5,Ready to Move,,False,,,,,Synthetic
ROW_00059,REAL_20788501,3 BHK Flat,25800000.0,1628.0,3.0,3,1,"Uttarahalli -Manavarthekaval, Bengaluru",Bengaluru,12.867845,77.523033,12.0,14.0,Unfurnished,North,1.0,Ready to Move,,False,Prestige Primrose Hills Ph 2,2026-07-27,resale,Resale,Real
ROW_00060,REAL_20720477,2 BHK Flat,9000000.0,860.0,2.0,2,1,"DLF Newtown, Akshayanagar",Bengaluru,12.874644,77.617699,3.0,4.0,Semi Furnished,North,7.0,Ready to Move,,False,DS Max Saanjh,2026-08-11,resale,Resale,Real
ROW_00061,REAL_18122841,3 BHK Flat,9000000.0,1043.0,3.0,3,1,"Gummanahalli, Bengaluru",Bengaluru,13.144026,77.684334,10.0,21.0,Semi Furnished,Unknown,1.0,Ready to Move,,False,Brigade Gallium At Brigade El Dorado,2026-08-10,resale,Resale,Real
ROW_00062,SYN_02968,,13700000.0,1122.0,2.0,2,0,"Hosahalli, Bengaluru",,,,2.0,14.0,Semi Furnished,East,35.0,Ready to Move,,False,,,,,Synthetic
ROW_00063,SYN_01079,,6470000.0,1091.0,2.0,2,1,"Kadugodi, Bengaluru",,,,13.0,14.0,Semi Furnished,East,18.0,Ready to Move,,False,,,,,Synthetic
ROW_00064,REAL_21077693,3 BHK Flat,26800000.0,1740.0,3.0,3,1,"Glen Classic, Devinagar",Bengaluru,13.052839,77.574203,6.0,18.0,Semi Furnished,East,,Upcoming,2026-09-08,True,Hiranandani Glen Gate,2026-09-08,resale,Resale,Real
ROW_00065,REAL_20866865,2 BHK Flat,6800000.0,1069.0,2.0,2,1,"Glass Factory Layout, Electronic City",Bengaluru,12.83044,77.704485,2.0,5.0,Unfurnished,East,8.0,Ready to Move,,False,Balaji Serenity,2026-08-06,resale,Resale,Real
ROW_00066,SYN_03189,,14740000.0,1939.0,3.0,3,1,"Cholanayakanahalli, Hebbal",,,,3.0,7.0,Unfurnished,West,5.0,Upcoming,2027-04-26,True,,,,,Synthetic
ROW_00067,REAL_21101104,3 BHK Flat,11500000.0,1700.0,3.0,3,1,"Akshayanagara East, Akshayanagar",Bengaluru,12.864316,77.616547,5.0,6.0,Semi Furnished,East,18.0,Ready to Move,,False,Janhavi Meadows,2026-09-11,resale,Resale,Real
ROW_00068,SYN_04755,,24700000.0,1932.0,3.0,3,1,"Sri Balaji Krupa Layout, R.K. Hegde Nagar",,,,11.0,13.0,Semi Furnished,East,7.6,Ready to Move,,False,,,,,Synthetic
ROW_00069,SYN_01233,,36140000.0,1712.0,3.0,3,1,"South Avenue Layout, Gottigere",,,,2.0,13.0,Semi Furnished,East,26.0,Upcoming,2026-04-24,True,,,,,Synthetic
ROW_00070,REAL_21064930,2 BHK Flat,12700000.0,944.0,2.0,2,2,"Hosapalya, Muneshwara Nagar",Bengaluru,12.890119,77.648788,12.0,14.0,Semi Furnished,Unknown,8.0,Ready to Move,,False,Sumo Sonnet,2026-09-06,resale,Resale,Real
ROW_00071,SYN_00325,,13880000.0,1342.0,2.0,2,2,"P&T Layout, Thanisandra",,,,26.0,33.0,Semi Furnished,East,12.8,Ready to Move,,False,,,,,Synthetic
ROW_00072,REAL_20590342,3 BHK Flat,28000000.0,1748.0,3.0,3,1,"Akshaya Vana, Begur",Bengaluru,12.861896,77.613487,17.0,21.0,Semi Furnished,East,6.0,Ready to Move,,False,Prestige Song of the South,2026-06-30,resale,Resale,Real
ROW_00073,REAL_21048588,2 BHK Flat,7300000.0,1125.0,2.0,2,1,"Janatha Colony, Chikkanagamangala",Bengaluru,12.865247,77.692932,1.0,4.0,Unfurnished,Unknown,2.0,Ready to Move,,False,DS Sahara Grand,2026-09-04,resale,Resale,Real
ROW_00074,REAL_16549158,3.5 BHK Flat,30000000.0,1960.0,3.5,4,3,"Phase 1, Whitefield",Bengaluru,12.968301,77.738134,7.0,17.0,Semi Furnished,East,7.0,Ready to Move,,False,,2026-09-11,resale,Resale,Real
ROW_00075,REAL_20203705,3 BHK Flat,26500000.0,1300.0,3.0,3,1,"Balagere, Bengaluru",Bengaluru,12.937931,77.726288,13.0,15.0,Unfurnished,East,1.0,Ready to Move,,False,Sobha Ayana At Dream Acres Wing 60 To 71,2026-07-31,resale,Resale,Real
ROW_00076,SYN_03180,,15750000.0,1095.0,3.0,3,3,"Pantarapalya, Nayandahalli",,,,8.0,14.0,Semi Furnished,Unknown,5.2,Ready to Move,,False,,,,,Synthetic
ROW_00077,REAL_21029573,2 BHK Flat,21000000.0,1470.0,2.0,2,1,"Bellandur, Bengaluru",Bengaluru,12.923053,77.674782,1.0,3.0,Semi Furnished,East,21.0,Ready to Move,,False,Trinity Meadows,2026-09-01,resale,Resale,Real
ROW_00078,SYN_01689,,18880000.0,1844.0,3.0,2,1,"Sannatammanahalli, Battarahalli",,,,4.0,15.0,Semi Furnished,West,9.2,Ready to Move,,False,,,,,Synthetic
ROW_00079,SYN_03577,,21070000.0,1751.0,3.0,3,1,"Kuvempu Layout, Visthar",,,,2.0,4.0,Semi Furnished,Unknown,5.0,Ready to Move,,False,,,,,Synthetic
ROW_00080,REAL_20365391,1 BHK Flat,5999000.0,590.0,1.0,1,1,"Gummanahalli, Bengaluru",Bengaluru,13.146408,77.681252,17.0,19.0,Unfurnished,East,,Upcoming,2028-09-01,True,Provident Ecopolitan,2026-06-01,resale,Resale,Real
ROW_00081,SYN_04056,,13900000.0,927.0,2.0,2,1,"Dodsworth Layout, Whitefield",,,,4.0,9.0,Unfurnished,Unknown,10.7,Ready to Move,,False,,,,,Synthetic
ROW_00082,REAL_21081325,3 BHK Flat,32599999.999999996,2307.0,3.0,3,1,"Gattahalli, Bengaluru",Bengaluru,12.8789256,77.6906589,2.0,4.0,Unfurnished,North,,Ready to Move,,False,JRC Wildwoods by JRC Projects Pvt Ltd,2026-09-09,resale,Resale,Real
ROW_00083,SYN_00361,,20510000.0,1246.0,2.0,2,1,"Balagere, Bengaluru",,,,8.0,12.0,Semi Furnished,East,7.8,Ready to Move,,False,,,,,Synthetic
ROW_00084,REAL_19758471,3 BHK Flat,18000000.0,1482.0,3.0,3,1,"Virgonagar, Aavalahalli",Bengaluru,13.04425,77.746025,5.0,24.0,Unfurnished,East,1.0,Ready to Move,,False,Aratt Alchemy One,2026-08-04,resale,Resale,Real
ROW_00085,SYN_00863,,20000000.0,1364.0,3.0,3,2,"Balagere, Bengaluru",,,,21.0,22.0,Fully Furnished,East,3.8,Ready to Move,,False,,,,,Synthetic
ROW_00086,REAL_21151482,2 BHK Flat,25000000.0,1330.0,2.0,2,1,"Seetharampalya, Hoodi",Bengaluru,12.980757,77.711136,6.0,14.0,Semi Furnished,East,7.0,Ready to Move,,False,Brigade Lakefront,2026-09-20,resale,Resale,Real
ROW_00087,REAL_20375544,2 BHK Flat,22500000.0,1542.0,2.0,3,1,"9th Phase, JP Nagar",Bengaluru,12.868531,77.563293,3.0,4.0,Semi Furnished,West,7.0,Ready to Move,,False,,2026-06-02,resale,Resale,Real
ROW_00088,REAL_21132892,3 BHK Flat,32599999.999999996,2182.0,3.0,3,2,"Sri Balaji Krupa Layout, R.K. Hegde Nagar",Bengaluru,13.069581,77.633171,26.0,34.0,Unfurnished,Unknown,2.0,Ready to Move,,False,Purva Atmosphere,2026-09-17,resale,Resale,Real
ROW_00089,SYN_04003,,24500000.0,1471.0,2.0,2,1,"Stage 3, Indira Nagar",,,,6.0,6.0,Unfurnished,Unknown,5.9,Ready to Move,,False,,,,,Synthetic
ROW_00090,SYN_02772,,21570000.0,1935.0,3.0,3,1,"Budigere Cross, Bengaluru",,,,12.0,23.0,Fully Furnished,East,1.0,Ready to Move,,False,,,,,Synthetic
ROW_00091,SYN_02440,,17110000.0,1641.0,3.0,3,1,"Chaithanya Samarth, Bommenahalli",,,,2.0,9.0,Fully Furnished,West,0.7,Ready to Move,,False,,,,,Synthetic
ROW_00092,SYN_02944,,21920000.0,1126.0,2.0,2,1,"Pattandur Agrahara, Whitefield",,,,0.0,5.0,Semi Furnished,North,7.7,Ready to Move,,False,,,,,Synthetic
ROW_00093,SYN_04240,,14790000.0,1096.0,3.0,3,1,"Vakil Garden City, Bengaluru",,,,20.0,28.0,Unfurnished,East,10.3,Ready to Move,,False,,,,,Synthetic
ROW_00094,REAL_16486047,3 BHK Flat,51000000.0,3500.0,3.0,3,4,"Sathya Sai Layout, Whitefield",Bengaluru,12.976352,77.751714,26.0,27.0,Semi Furnished,East,,Ready to Move,,False,Prestige White Meadows Villas,2026-09-16,resale,Resale,Real
ROW_00095,REAL_19781371,2 BHK Flat,12000000.0,959.0,2.0,2,1,"Suryanagar, Bommasandra",Bengaluru,12.80486,77.699677,11.0,28.0,Unfurnished,Unknown,,Ready to Move,,False,Cielo At Brigade Valencia,2026-08-26,resale,Resale,Real
ROW_00096,REAL_20086182,4 BHK Flat,23000000.0,2030.0,4.0,4,2,"Upkar Layout, Whitefield",Bengaluru,12.983492,77.74617,23.0,27.0,Unfurnished,East,1.0,Ready to Move,,False,Godrej Splendour,2026-08-04,resale,Resale,Real
ROW_00097,SYN_04191,,11090000.0,1117.0,2.0,2,2,"Choodasandra, Bengaluru",,,,0.0,7.0,Unfurnished,Unknown,1.0,Ready to Move,,False,,,,,Synthetic
ROW_00098,SYN_02827,,14400000.0,954.0,2.0,2,1,"Dodsworth Layout, Whitefield",,,,9.0,15.0,Semi Furnished,East,8.0,Ready to Move,,False,,,,,Synthetic
ROW_00099,SYN_02541,,9910000.0,1313.0,3.0,3,1,"Cholanayakanahalli, Hebbal",,,,8.0,12.0,Unfurnished,North,3.3,Ready to Move,,False,,,,,Synthetic
ROW_00100,SYN_02233,,24990000.0,1510.0,3.0,3,1,"Sanjeevini Nagar, Bengaluru",,,,1.0,10.0,Semi Furnished,Unknown,5.6,Ready to Move,,False,,,,,Synthetic
ROW_00101,REAL_20115777,3 BHK Flat,14800000.0,1273.0,3.0,3,1,"Aishwarya Crystal Layout, Begur",Bengaluru,12.870757,77.645012,9.0,28.0,Unfurnished,East,1.0,Ready to Move,,False,TVS Emerald Jardin,2026-09-12,resale,Resale,Real
ROW_00102,SYN_00021,,19070000.0,1471.0,2.0,2,2,"Anchepalya, Bengaluru",,,,10.0,21.0,Semi Furnished,Unknown,14.0,Ready to Move,,False,,,,,Synthetic
ROW_00103,REAL_20888653,3 BHK Flat,53000000.0,3640.0,3.0,4,2,"Sannatammanahalli, Battarahalli",Bengaluru,13.023868,77.711525,37.0,38.0,Semi Furnished,East,7.0,Ready to Move,,False,Pashmina Waterfront,2026-08-10,resale,Resale,Real
ROW_00104,SYN_03095,,13930000.0,1593.0,3.0,3,1,"Devarabisanahalli, Bellandur",,,,14.0,18.0,Semi Furnished,North-East,7.3,Ready to Move,,False,,,,,Synthetic
ROW_00105,SYN_01845,,14120000.0,1209.0,2.0,2,1,"Gummanahalli, Bengaluru",,,,9.0,12.0,Semi Furnished,West,4.0,Ready to Move,,False,,,,,Synthetic
ROW_00106,REAL_20873022,2 BHK Flat,24000000.0,1246.0,2.0,2,1,"Kodigehalli, K R Puram",Bengaluru,13.001337,77.724037,5.0,20.0,Semi Furnished,West,,Upcoming,2026-12-01,True,Sumadhura Folium,2026-08-07,resale,Resale,Real
ROW_00107,REAL_20589508,3 BHK Flat,25200000.0,1571.0,3.0,3,2,"Jayanagar Housing Society Layout, Subramanyapura",Bengaluru,12.896044,77.54052,4.0,19.0,Fully Furnished,North,4.0,Ready to Move,,False,Prestige Lake Ridge,2026-06-30,resale,Resale,Real
ROW_00108,SYN_02852,,22360000.0,2081.0,3.0,1,1,"Ardendale, Kannamangala - Whitefield Hoskote Road",,,,8.0,14.0,Semi Furnished,East,5.0,Ready to Move,,False,,,,,Synthetic
ROW_00109,SYN_04125,,8880000.0,1023.0,2.0,2,1,"Sarjapur, Bengaluru",,,,24.0,27.0,Semi Furnished,East,0.4,Ready to Move,,False,,,,,Synthetic
ROW_00110,REAL_20992280,3 BHK Flat,18600000.0,1605.0,3.0,2,1,"Dodsworth Layout, Whitefield",Bengaluru,12.9698361261294,77.7490637273097,6.0,8.0,Semi Furnished,South,9.0,Ready to Move,,False,White Field Ville,2026-08-26,resale,Resale,Real
ROW_00111,SYN_00529,,10740000.0,1086.0,2.0,2,1,"Bengaluru Hardware Park, Bengaluru",,,,4.0,5.0,Semi Furnished,East,9.0,Upcoming,2026-08-06,True,,,,,Synthetic
ROW_00112,SYN_01745,,13410000.0,965.0,2.0,2,1,"Phase I, Electronic City",,,,1.0,19.0,Unfurnished,West,8.0,Ready to Move,,False,,,,,Synthetic
ROW_00113,REAL_21053216,2 BHK Flat,16900000.0,1285.0,2.0,2,1,"Kanakapura, Bengaluru",Bengaluru,12.546403,77.425087,5.0,26.0,Unfurnished,North,1.0,Ready to Move,,False,Mahindra Eden Phase 1,2026-09-04,resale,Resale,Real
ROW_00114,REAL_20640578,3 BHK Flat,23000000.0,1690.0,3.0,3,1,"Lakedew Residency- Phase 2, Harlur",Bengaluru,12.895397,77.665398,9.0,10.0,Semi Furnished,East,5.0,Ready to Move,,False,RBD Stillwaters Apartments,2026-09-12,resale,Resale,Real
ROW_00115,SYN_03711,,11270000.0,869.0,2.0,2,1,"Phase I, Electronic City",,,,23.0,32.0,Semi Furnished,West,14.0,Ready to Move,,False,,,,,Synthetic
ROW_00116,REAL_21066516,2 BHK Flat,21700000.0,1250.0,2.0,2,1,"1A Block, Koramangala",Bengaluru,12.927773,77.630219,1.0,5.0,Semi Furnished,West,19.0,Ready to Move,,False,Prestige Oakwood,2026-09-07,resale,Resale,Real
ROW_00117,SYN_02642,,11690000.0,947.0,2.0,2,1,"Yelahanka, Bengaluru",,,,12.0,15.0,Unfurnished,East,10.9,Ready to Move,,False,,,,,Synthetic
