price,area_sqft,bhk,bathrooms,parking,location,floor_number,total_floors,furnishing,facing,age_years,possession_category,possession_date,is_under_construction
11500000.0,1415.0,3.0,2,1,"Duo Marvel Layout, Anantapura",4.0,5.0,Semi Furnished,East,10.0,Ready to Move,,False
14600000.0,1401.0,3.0,2,1,"Gummanahalli, Bengaluru",2.0,21.0,Unfurnished,West,11.0,Ready to Move,,False
13500000.0,1430.0,2.0,2,0,"Sri Ammembal Subbarao Pai Nagar, Sahakara Nagar",1.0,4.0,Unfurnished,Unknown,15.0,Ready to Move,,False
12600000.0,960.0,2.0,2,0,"Eastwood Township, Kasavanahalli",2.0,9.0,Semi Furnished,West,7.0,Ready to Move,,False
11000000.0,850.0,2.0,2,1,"Bidare Agraha, Bengaluru",9.0,12.0,Semi Furnished,East,4.0,Ready to Move,,False
9000000.0,972.0,2.0,2,1,"Utsav Raaga, Kannuru",4.0,13.0,Semi Furnished,South,9.0,Ready to Move,,False
15000000.0,1200.0,3.0,3,1,"Bidare Agraha, Bengaluru",1.0,12.0,Semi Furnished,East,4.0,Ready to Move,,False
26000000.0,1400.0,3.0,2,1,"Panathur, Bengaluru",1.0,12.0,Unfurnished,East,1.0,Ready to Move,,False
6300000.0,906.0,2.0,2,1,"Gunjur, Bengaluru",2.0,4.0,Semi Furnished,East,5.0,Ready to Move,,False
5200000.0,904.0,2.0,2,1,"BEML Cooperative Society Layout, Bengaluru",2.0,3.0,Semi Furnished,West,9.0,Ready to Move,,False
14600000.0,1100.0,3.0,3,1,"Gummanahalli, Bengaluru",7.0,21.0,Unfurnished,Unknown,11.0,Ready to Move,,False
12100000.0,970.0,2.0,2,1,"Gummanahalli, Bengaluru",15.0,21.0,Semi Furnished,Unknown,3.0,Ready to Move,,False
11000000.0,1077.0,2.0,2,2,"Phase 5, Chikkanayakanahalli, Choodasandra",6.0,12.0,Unfurnished,North,,Upcoming,2026-08-21,True
36100000.0,2829.0,4.0,4,1,"Venugopal Reddy Layout, Arakere",1.0,17.0,Unfurnished,West,2.0,Ready to Move,,False
8600000.0,1014.0,2.0,2,1,"Gulimangala, Bengaluru",5.0,6.0,Semi Furnished,East,2.0,Ready to Move,,False
8500000.0,950.0,2.0,2,1,"Stage 1, Indira Nagar",2.0,4.0,Semi Furnished,East,25.0,Ready to Move,,False
18500000.0,1380.0,3.0,2,1,"Suma Dhura Eden Garden, Chikkabana Halli",9.0,14.0,Semi Furnished,West,4.0,Ready to Move,,False
14800000.0,1549.0,3.0,3,1,"Varthur, Bengaluru",11.0,12.0,Semi Furnished,West,9.0,Ready to Move,,False
14700000.0,1332.0,3.0,2,1,"Hosahalli, Bengaluru",1.0,13.0,Unfurnished,East,2.0,Ready to Move,,False
11000000.0,1149.0,3.0,3,1,"Kattanallur, Sannatammanahalli",4.0,9.0,Semi Furnished,East,1.0,Ready to Move,,False
12700000.0,1076.0,2.0,2,1,"Gunjur Palya, Bengaluru",7.0,8.0,Semi Furnished,South,3.0,Ready to Move,,False
13500000.0,1150.0,2.0,2,2,"Silver Springs Layout, Munnekollal",1.0,4.0,Semi Furnished,North,8.0,Ready to Move,,False
14900000.0,1245.0,2.0,2,1,"Doddakannelli, Bengaluru",1.0,13.0,Semi Furnished,North,9.0,Ready to Move,,False
13899999.999999998,1006.0,2.0,2,1,"Balagere, Bengaluru",2.0,14.0,Semi Furnished,West,7.0,Ready to Move,,False
14700000.0,1374.0,3.0,3,1,"Hunasamaranahalli, Bengaluru",14.0,14.0,Semi Furnished,North,1.0,Ready to Move,,False
32500000.0,1500.0,3.0,3,1,"Hadosiddapura, Carmelaram",13.0,18.0,Semi Furnished,East,3.0,Ready to Move,,False
13700000.000000002,1247.0,2.0,2,1,"Kaikondrahalli, Bengaluru",1.0,7.0,Semi Furnished,South,18.0,Ready to Move,,False
26000000.0,1864.0,3.0,3,1,"Dommasandra, Bengaluru",17.0,30.0,Semi Furnished,South,1.0,Ready to Move,,False
11399999.999999998,1269.0,2.0,2,1,"Narayanapura, Bengaluru",1.0,12.0,Semi Furnished,West,10.0,Ready to Move,,False
5200000.0,933.0,2.0,2,1,"Dasanapura, Bengaluru",2.0,11.0,Semi Furnished,Unknown,5.0,Ready to Move,,False
9700000.0,976.0,2.0,2,1,"Gummanahalli, Bengaluru",15.0,21.0,Unfurnished,East,3.0,Ready to Move,,False
8500000.0,904.0,2.0,2,1,"Gummanahalli, Bengaluru",23.0,29.0,Unfurnished,West,1.0,Ready to Move,,False
38000000.0,2200.0,4.0,4,2,"Bileshivale, Bengaluru",23.0,29.0,Fully Furnished,East,1.0,Ready to Move,,False
44000000.0,1945.0,3.0,3,1,"Sahakara Nagar, Bengaluru",12.0,14.0,Fully Furnished,East,,Upcoming,2026-09-10,True
11399999.999999998,1259.0,3.0,2,1,"Shriram Sameeksha, Singapura",6.0,7.0,Semi Furnished,East,6.0,Ready to Move,,False
17500000.0,1508.0,3.0,3,1,"Bhoganhalli, Bengaluru",7.0,8.0,Semi Furnished,Unknown,8.0,Ready to Move,,False
6300000.0,1082.0,3.0,2,1,"Kambipura, Bengaluru",3.0,12.0,Semi Furnished,Unknown,9.0,Ready to Move,,False
22000000.0,1843.0,3.0,3,1,"Gunjur Village, Bengaluru",2.0,21.0,Unfurnished,North,,Ready to Move,,False
28500000.0,2113.0,4.0,4,1,"Iblur Village, Bellandur",1.0,10.0,Semi Furnished,West,10.0,Ready to Move,,False
42500000.0,1935.0,3.5,4,1,"Sahakara Nagar, Bengaluru",1.0,14.0,Semi Furnished,West,,Ready to Move,,False
31500000.0,1910.0,4.0,4,1,"Dream Meadows, Brookefield",7.0,13.0,Unfurnished,East,,Upcoming,2029-12-25,True
14000000.0,1250.0,2.0,2,1,"Channasandra Layout, Srinivaspura",11.0,12.0,Unfurnished,North,1.0,Ready to Move,,False
5500000.0,914.0,2.0,2,1,"BEML Cooperative Society Layout, Bengaluru",3.0,4.0,Semi Furnished,South,10.0,Ready to Move,,False
30299999.999999996,2410.0,4.0,3,1,"Kodathi, Bengaluru",7.0,16.0,Unfurnished,West,3.0,Ready to Move,,False
6500000.0,925.0,2.0,2,2,"Vasanthapura, Subramanyapura",1.0,5.0,Semi Furnished,Unknown,7.0,Ready to Move,,False
6200000.0,1034.0,2.0,2,1,"BEML Cooperative Society Layout, Bengaluru",1.0,10.0,Semi Furnished,North,10.0,Ready to Move,,False
5500000.0,914.0,2.0,2,1,"BEML Cooperative Society Layout, Bengaluru",3.0,4.0,Semi Furnished,South,10.0,Ready to Move,,False
7300000.0,1165.0,2.0,2,1,"Nagondanahalli, Bengaluru",0.0,5.0,Semi Furnished,Unknown,10.0,Ready to Move,,False
9400000.0,1164.0,2.0,2,1,"3G Homes Crimson Layout, Kadugodi",2.0,4.0,Semi Furnished,East,10.0,Ready to Move,,False
15000000.0,1300.0,2.0,2,2,"Boodihal, Bengaluru",7.0,8.0,Fully Furnished,Unknown,8.0,Ready to Move,,False
13200000.0,1284.0,2.0,2,1,"Halasahalli, Bengaluru",9.0,9.0,Unfurnished,East,6.0,Ready to Move,,False
58000000.0,3793.0,4.0,5,2,"Chikkabana Halli, Bengaluru",15.0,19.0,Unfurnished,North,,Ready to Move,,False
13000000.0,1260.0,2.0,2,2,"G Muniyappa Garden, Cox Town",2.0,5.0,Semi Furnished,Unknown,10.0,Ready to Move,,False
27599999.999999996,1761.0,3.0,3,2,"3G Homes Crimson Layout, Kadugodi",13.0,19.0,Semi Furnished,East,8.0,Ready to Move,,False
16000000.0,1455.0,3.0,2,1,"Kalena Agrahara, Bengaluru",4.0,13.0,Semi Furnished,East,13.0,Ready to Move,,False
11000000.0,998.0,2.0,2,1,"Gummanahalli, Bengaluru",0.0,20.0,Semi Furnished,North,3.0,Ready to Move,,False
29000000.0,1650.0,3.0,3,1,"Chansandra, Bengaluru",6.0,17.0,Unfurnished,South,,Upcoming,2027-12-27,True
30000000.0,1705.0,3.0,2,1,"Lords Steps Layout, Panathur",7.0,16.0,Unfurnished,East,1.0,Ready to Move,,False
20800000.0,1506.0,3.0,3,1,"Balagere, Bengaluru",7.0,21.0,Unfurnished,East,,Upcoming,2026-11-20,True
25500000.0,1907.0,3.5,3,2,"Konadasapura, Bengaluru",10.0,32.0,Unfurnished,Unknown,,Upcoming,2026-06-25,True
27000000.0,1570.0,3.0,3,1,"Dream Meadows, Brookefield",6.0,13.0,Unfurnished,East,,Upcoming,2029-12-25,True
8500000.0,1250.0,2.0,2,1,"Hennur, Bengaluru",0.0,5.0,Semi Furnished,North,9.0,Ready to Move,,False
15000000.0,1096.0,2.0,2,1,"Suma Dhura Eden Garden, Chikkabana Halli",10.0,14.0,Semi Furnished,South,4.0,Ready to Move,,False
21500000.0,1458.0,3.0,3,1,"Phase 1, Kartik Nagar",7.0,10.0,Semi Furnished,East,11.0,Ready to Move,,False
11100000.000000002,1575.0,3.0,3,0,"Gullakaipura, Bengaluru",2.0,4.0,Unfurnished,East,,Ready to Move,,False
30000000.0,1765.0,3.0,2,1,"Garebhavipalya, GB Palya",19.0,19.0,Semi Furnished,West,3.0,Ready to Move,,False
19900000.0,1700.0,3.0,3,1,"Rohan Iksha, Bhoganhalli",6.0,14.0,Unfurnished,East,,Upcoming,2026-11-19,True
9900000.0,1537.0,3.0,2,2,"Yelenahalli, Akshayanagar",4.0,10.0,Semi Furnished,West,7.0,Ready to Move,,False
14000000.0,1169.0,2.0,2,1,"Buena Vista, Bommenahalli",4.0,21.0,Semi Furnished,South,4.0,Ready to Move,,False
32500000.0,1973.0,3.0,3,2,"BDA Colony, Jeevan Bima Nagar",5.0,9.0,Semi Furnished,North,16.0,Ready to Move,,False
14600000.0,1569.0,3.0,3,1,"Kattanallur, Sannatammanahalli",4.0,9.0,Semi Furnished,East,1.0,Ready to Move,,False
16299999.999999998,1216.0,2.0,2,2,"Gunjur Village, Bengaluru",2.0,28.0,Semi Furnished,East,6.0,Ready to Move,,False
20000000.0,1172.0,2.0,2,1,"Rohan Iksha, Bhoganhalli",2.0,14.0,Semi Furnished,West,5.0,Ready to Move,,False
14300000.0,1259.0,2.0,2,1,"Varthur, Bengaluru",11.0,23.0,Semi Furnished,East,6.0,Ready to Move,,False
32799999.999999996,2370.0,4.0,4,2,"Rachenahalli, Jakkur",4.0,14.0,Unfurnished,North,,Upcoming,2026-09-11,True
14800000.0,1375.0,3.0,3,1,"V S Reddy Colony, Kadugodi",13.0,14.0,Unfurnished,West,,Ready to Move,,False
17000000.0,1200.0,2.0,2,1,"Venugopal Reddy Layout, Arakere",0.0,17.0,Unfurnished,West,2.0,Ready to Move,,False
18700000.0,1660.0,3.0,3,1,"Hosahalli, Bengaluru",14.0,15.0,Unfurnished,East,4.0,Ready to Move,,False
16000000.0,1192.0,3.0,2,1,"Kodathi, Bengaluru",12.0,14.0,Unfurnished,East,3.0,Ready to Move,,False
37500000.0,2646.0,4.0,4,3,"Green Glen Layout, Bellandur",15.0,16.0,Semi Furnished,Unknown,5.0,Ready to Move,,False
21300000.0,1742.0,3.5,2,1,"Cheemasandra, Bengaluru",3.0,18.0,Unfurnished,North,,Upcoming,2027-12-01,True
43900000.0,2195.0,3.0,3,3,"Adarsh Palm Retreat, Bellandur",5.0,13.0,Semi Furnished,South,10.0,Ready to Move,,False
20900000.0,1619.0,3.0,3,2,"V. Kallahalli, Bengaluru",22.0,29.0,Unfurnished,Unknown,,Upcoming,2026-07-23,True
26000000.0,1745.0,4.0,3,1,"Cheemasandra, Bengaluru",14.0,18.0,Unfurnished,East,,Upcoming,2027-12-01,True
13600000.000000002,1329.0,2.5,2,1,"Janatha Colony, Doddakannelli",2.0,4.0,Semi Furnished,East,8.0,Ready to Move,,False
27500000.0,2050.0,3.0,3,1,"Phase 7, Arakere",19.0,19.0,Semi Furnished,Unknown,14.0,Ready to Move,,False
12400000.0,1650.0,3.0,2,1,"Rukmaiah Layout, Hulimavu",5.0,6.0,Fully Furnished,Unknown,12.0,Ready to Move,,False
36000000.0,2500.0,4.0,3,3,"Sri Balaji Krupa Layout, Kothnur Narayanapura",34.0,34.0,Unfurnished,West,,Ready to Move,,False
35000000.0,2420.0,4.0,4,2,"Sri Balaji Krupa Layout, R.K. Hegde Nagar",30.0,35.0,Unfurnished,North,1.0,Ready to Move,,False
12000000.0,1326.0,3.0,3,1,"Dinnuru, KSRTC Colony",0.0,3.0,Semi Furnished,East,2.0,Ready to Move,,False
14200000.0,1106.0,3.0,2,1,"Thirumalashettyhally, Bengaluru",6.0,12.0,Semi Furnished,North,1.0,Ready to Move,,False
21600000.0,1542.0,3.0,3,1,"Uttarahalli -Manavarthekaval, Bengaluru",13.0,14.0,Semi Furnished,West,2.0,Ready to Move,,False
24000000.0,1655.0,3.0,3,1,"Gunjur Village, Bengaluru",8.0,26.0,Semi Furnished,Unknown,6.0,Ready to Move,,False
11000000.0,1081.0,2.0,2,2,"Phase 5, Chikkanayakanahalli, Choodasandra",6.0,12.0,Unfurnished,East,4.0,Ready to Move,,False
26800000.0,1740.0,3.0,3,1,"Glen Classic, Devinagar",6.0,18.0,Semi Furnished,East,,Upcoming,2026-09-08,True
26200000.0,1563.0,3.0,2,1,"Hosapalya, Kudlu Gate",13.0,23.0,Semi Furnished,East,7.0,Ready to Move,,False
35500000.0,1909.0,3.0,3,1,"Panathur, Bengaluru",4.0,12.0,Semi Furnished,West,1.0,Ready to Move,,False
18500000.0,1445.0,3.0,2,1,"MCECHS Layout Phase 1, R.K. Hegde Nagar",17.0,23.0,Semi Furnished,North-West,4.0,Ready to Move,,False
12300000.0,998.0,2.0,2,1,"Gummanahalli, Bengaluru",13.0,20.0,Semi Furnished,East,3.0,Ready to Move,,False
10500000.0,850.0,3.0,3,1,"Boovanahalli, Bengaluru",5.0,18.0,Semi Furnished,West,3.0,Ready to Move,,False
36000000.0,2350.0,4.0,4,2,"Nallurhalli, Whitefield",11.0,23.0,Unfurnished,West,,Upcoming,2028-06-01,True
14500000.0,1508.0,3.0,3,1,"Reliaable Tranquil Layout, Bengaluru",7.0,8.0,Fully Furnished,East,9.0,Ready to Move,,False
38000000.0,2416.0,4.0,4,3,"Ramagondanahalli, Whitefield",7.0,18.0,Unfurnished,Unknown,,Upcoming,2027-12-01,True
31000000.0,2060.0,3.0,3,1,"Chinnapa Garden, Benson Town",3.0,5.0,Semi Furnished,East,8.0,Ready to Move,,False
32000000.0,2081.0,4.0,4,1,"Whitefield, Bengaluru",7.0,16.0,Unfurnished,East,,Upcoming,2030-06-01,True
32000000.0,1748.0,3.0,3,2,"Pantarapalya, Nayandahalli",14.0,21.0,Semi Furnished,North,4.0,Ready to Move,,False
11399999.999999998,1200.0,3.0,2,1,"Shriram Sameeksha, Singapura",6.0,7.0,Semi Furnished,East,8.0,Ready to Move,,False
14500000.0,1317.0,2.0,2,1,"Doddakannelli, Bengaluru",18.0,18.0,Semi Furnished,Unknown,7.0,Ready to Move,,False
17500000.0,1644.0,3.0,3,1,"Ahad Euphoria, Carmelaram",2.0,15.0,Semi Furnished,West,9.0,Ready to Move,,False
39000000.0,2221.0,4.0,4,1,"Ramagondanahalli, Whitefield",8.0,16.0,Unfurnished,Unknown,,Upcoming,2028-12-01,True
28000000.0,1725.0,4.0,4,1,"Phase 2, Whitefield",9.0,18.0,Unfurnished,West,,Upcoming,2026-12-07,True
7500000.0,1017.0,2.0,2,1,"Thirumagondanahalli, Bengaluru",4.0,4.0,Semi Furnished,East,1.0,Ready to Move,,False
25500000.0,1760.0,3.0,3,2,"Nallurhalli, Whitefield",7.0,16.0,Unfurnished,East,,Upcoming,2026-12-24,True
16299999.999999998,1217.0,2.0,2,2,"Gunjur Village, Bengaluru",2.0,28.0,Semi Furnished,East,8.0,Ready to Move,,False
25500000.0,1545.0,3.0,3,1,"Phase 2, Whitefield",7.0,18.0,Unfurnished,East,,Upcoming,2026-12-13,True
6650000.0,849.0,2.0,2,1,"Biotech Park, Chandapura",3.0,3.0,Semi Furnished,North,3.0,Ready to Move,,False
12600000.0,1506.0,3.0,2,1,"Ecolife Elements Of Nature, Balagere",2.0,10.0,Semi Furnished,West,6.0,Ready to Move,,False
6400000.0,912.0,2.0,2,3,"Gunjur, Bengaluru",3.0,4.0,Semi Furnished,North,3.0,Ready to Move,,False
33000000.0,2500.0,4.0,4,3,"Devin Paradise Enclave, Nagareshwara - Nagenahalli",8.0,34.0,Unfurnished,North,,Ready to Move,,False
11900000.0,1247.0,3.0,2,1,"Dommasandra, Bengaluru",10.0,12.0,Semi Furnished,North,3.0,Ready to Move,,False
27500000.0,1365.0,3.0,3,1,"Nallurhalli, Whitefield",7.0,18.0,Unfurnished,West,,Upcoming,2026-12-01,True
69800000.0,5000.0,4.0,5,2,"Meenakunte, Bengaluru",18.0,27.0,Unfurnished,East,,Upcoming,2030-09-30,True
9500000.0,1300.0,2.0,2,1,"St Thomas Town, Kacharakanahalli",2.0,5.0,Semi Furnished,North,5.0,Ready to Move,,False
23000000.0,1887.0,3.0,3,1,"Kodandarama Nagar, KPC Layout",2.0,11.0,Semi Furnished,South,7.0,Ready to Move,,False
69000000.0,4290.0,4.0,4,3,"Byadarahalli, Benson Town",10.0,10.0,Semi Furnished,Unknown,13.0,Ready to Move,,False
24000000.0,1657.0,3.0,3,2,"Gunjur Village, Bengaluru",8.0,26.0,Semi Furnished,Unknown,6.0,Ready to Move,,False
30099999.999999996,1800.0,3.0,3,1,"Hosapalya, Kudlu Gate",3.0,22.0,Semi Furnished,East,7.0,Ready to Move,,False
27300000.0,1995.0,3.0,3,1,"Manayata Tech Park, Thanisandra",4.0,27.0,Semi Furnished,West,9.0,Ready to Move,,False
26000000.0,2100.0,3.0,3,2,"Richmond Town, Bengaluru",1.0,5.0,Semi Furnished,East,20.0,Ready to Move,,False
7500000.0,690.0,2.0,2,1,"Prakruthi Nagar, Kogilu",5.0,9.0,Fully Furnished,East,3.0,Ready to Move,,False
7500000.0,800.0,1.0,1,2,"Devin Paradise Enclave, Tirumanahalli",21.0,33.0,Unfurnished,Unknown,4.0,Ready to Move,,False
12000000.0,841.0,2.0,2,1,"Yadavanahalli, Bengaluru",26.0,33.0,Semi Furnished,East,1.0,Ready to Move,,False
14000000.0,1200.0,2.0,2,1,"Vittasandra, Bengaluru",1.0,4.0,Semi Furnished,West,11.0,Ready to Move,,False
13500000.0,1069.0,2.0,2,3,"Devasthanagalu, Varthur",25.0,26.0,Semi Furnished,East,4.0,Ready to Move,,False
14400000.0,1007.0,2.0,2,1,"Devasthanagalu, Varthur",8.0,13.0,Semi Furnished,Unknown,5.0,Ready to Move,,False
14000000.0,1103.0,2.0,2,1,"Chikkakannalli, Bengaluru",11.0,26.0,Unfurnished,Unknown,1.0,Ready to Move,,False
11000000.0,1150.0,2.0,2,1,"GM Global Techies Town, Thirupalya",24.0,31.0,Unfurnished,North,2.0,Ready to Move,,False
14000000.0,1800.0,3.0,3,2,"Kasavanahalli, Bengaluru",4.0,4.0,Fully Furnished,Unknown,12.0,Ready to Move,,False
9500000.0,1086.0,3.0,3,1,"Dommasandra, Bengaluru",7.0,14.0,Semi Furnished,East,2.0,Ready to Move,,False
5100000.0,916.0,2.0,2,1,"BEML Cooperative Society Layout, Bengaluru",3.0,3.0,Semi Furnished,South,9.0,Ready to Move,,False
28100000.0,1875.0,3.0,3,2,"Sri Balaji Krupa Layout, R.K. Hegde Nagar",31.0,34.0,Unfurnished,West,1.0,Ready to Move,,False
52500000.0,2150.0,3.0,3,2,"Thomas Town, Cooke Town",8.0,12.0,Semi Furnished,Unknown,15.0,Ready to Move,,False
9000000.0,1093.0,2.0,2,0,"Bendre Nagar, Bengaluru",4.0,6.0,Semi Furnished,North,15.0,Ready to Move,,False
13500000.0,1382.0,3.0,2,1,"Gummanahalli, Bengaluru",4.0,22.0,Unfurnished,West,,Upcoming,2026-12-01,True
28500000.0,1707.0,3.0,3,2,"Seetharampalya, Hoodi",10.0,22.0,Unfurnished,East,,Upcoming,2028-09-01,True
13000000.0,1097.0,2.0,2,1,"Medahalli, Bengaluru",3.0,27.0,Unfurnished,Unknown,1.0,Ready to Move,,False
24000000.0,1656.0,3.0,3,1,"Gunjur Village, Bengaluru",8.0,26.0,Semi Furnished,Unknown,7.0,Ready to Move,,False
11600000.0,1101.0,2.0,2,0,"Govinda Reddy Layout, Panduranga Nagar",17.0,19.0,Semi Furnished,North,3.0,Ready to Move,,False
8800000.0,1040.0,2.0,2,1,"Govindayyanapalya, Jalahalli East",3.0,5.0,Semi Furnished,East,15.0,Ready to Move,,False
11700000.0,999.0,2.0,2,1,"Akshaya Vana, Akshayanagar",3.0,4.0,Semi Furnished,North,5.0,Ready to Move,,False
11399999.999999998,1064.0,2.0,2,1,"Kumbalgodu, Bengaluru",3.0,5.0,Semi Furnished,East,,Ready to Move,,False
40000000.0,1900.0,3.0,3,2,"Inasappa Layout, Kammanahalli",16.0,28.0,Semi Furnished,Unknown,4.0,Ready to Move,,False
13600000.000000002,985.0,2.0,2,1,"P&T Layout, Thanisandra",20.0,32.0,Semi Furnished,West,6.0,Ready to Move,,False
8500000.0,605.0,1.0,1,0,"Jyotipuram, Bengaluru",20.0,28.0,Unfurnished,South,1.0,Ready to Move,,False
12600000.0,1237.0,2.0,2,2,"Vittasandra, Bengaluru",2.0,4.0,Semi Furnished,South,11.0,Ready to Move,,False
14900000.0,1142.0,2.0,2,1,"Kannuru, Bengaluru",34.0,38.0,Unfurnished,East,,Upcoming,2026-06-26,True
19400000.0,1650.0,3.0,3,1,"Ardendale, Kannamangala - Whitefield Hoskote Road",20.0,24.0,Unfurnished,Unknown,,Upcoming,2027-01-01,True
25500000.0,1898.0,3.5,4,1,"V. Kallahalli, Bengaluru",16.0,30.0,Unfurnished,East,1.0,Ready to Move,,False
22500000.0,1937.0,3.0,3,1,"Vakil Garden City, Bengaluru",6.0,19.0,Semi Furnished,West,,Upcoming,2026-10-01,True
9500000.0,1050.0,2.0,2,2,"Shirke Layout, Kengeri Satellite Town",0.0,5.0,Fully Furnished,East,6.0,Ready to Move,,False
210000000.0,8900.0,5.0,6,2,"Hebbal, Bengaluru",6.0,20.0,Semi Furnished,North,3.0,Ready to Move,,False
14000000.0,1229.0,2.0,2,2,"Essel Gardens, Bengaluru",5.0,14.0,Unfurnished,Unknown,,Upcoming,2027-10-06,True
12500000.0,1350.0,3.0,2,1,"Uttarahalli -Manavarthekaval, Bengaluru",4.0,14.0,Semi Furnished,East,13.0,Ready to Move,,False
9500000.0,1107.0,2.0,2,1,"Bhoganhalli, Bengaluru",3.0,5.0,Semi Furnished,East,11.0,Ready to Move,,False
8200000.0,1094.0,2.0,2,2,"K R Puram, Bengaluru",4.0,5.0,Semi Furnished,East,10.0,Ready to Move,,False
16900000.0,1477.0,3.0,2,1,"Hosahalli, Bengaluru",12.0,15.0,Unfurnished,East,1.0,Ready to Move,,False
8500000.0,1040.0,2.0,2,1,"Kundalahalli, Brookefield",2.0,4.0,Semi Furnished,North,20.0,Ready to Move,,False
9500000.0,1210.0,2.0,2,1,"DNA Eden View, Whitefield",1.0,4.0,Semi Furnished,South,13.0,Ready to Move,,False
21000000.0,1657.0,3.0,3,1,"V. Kallahalli, Bengaluru",18.0,30.0,Unfurnished,East,1.0,Ready to Move,,False
30000000.0,1616.0,3.0,3,1,"Classic Orchids Layout, Kalena Agrahara",18.0,18.0,Unfurnished,Unknown,3.0,Ready to Move,,False
30000000.0,1515.0,3.0,3,3,"Chikku Lakshmaiah Layout, Adugodi",1.0,7.0,Semi Furnished,Unknown,9.0,Ready to Move,,False
9400000.0,1180.0,2.0,2,1,"DNA Eden View, Whitefield",2.0,4.0,Semi Furnished,South,13.0,Ready to Move,,False
8500000.0,1100.0,2.0,2,1,"Radha Krishna Layout 1st Stage, Padmanabhanagar",2.0,4.0,Semi Furnished,Unknown,15.0,Ready to Move,,False
33400000.0,2004.0,3.0,3,1,"Sri Balaji Krupa Layout, R.K. Hegde Nagar",6.0,20.0,Unfurnished,Unknown,,Upcoming,2026-08-19,True
16200000.000000002,1242.0,3.0,2,1,"Chikkakannalli, Bengaluru",26.0,27.0,Unfurnished,East,1.0,Ready to Move,,False
21000000.0,1660.0,3.0,3,1,"Dommasandra, Bengaluru",15.0,30.0,Unfurnished,East,1.0,Ready to Move,,False
19500000.0,1560.0,3.0,3,1,"Someshwara Layout, Doddakannelli",11.0,12.0,Unfurnished,Unknown,1.0,Ready to Move,,False
16900000.0,1477.0,3.0,3,1,"Hosahalli, Bengaluru",14.0,15.0,Unfurnished,East,1.0,Ready to Move,,False
11000000.0,1428.0,3.0,3,1,"Chikkadunnasandra, Bengaluru",3.0,3.0,Semi Furnished,West,3.0,Ready to Move,,False
32000000.0,2067.0,3.0,3,1,"Green Glen Layout, Bellandur",4.0,10.0,Semi Furnished,West,13.0,Ready to Move,,False
5300000.0,680.0,2.0,2,1,"Bukkasagara, Bengaluru",2.0,4.0,Unfurnished,West,4.0,Ready to Move,,False
14500000.0,1800.0,3.0,2,1,"Narayanapura, Bengaluru",2.0,21.0,Semi Furnished,West,,Ready to Move,,False
11000000.0,1086.0,2.0,2,2,"Phase 5, Chikkanayakanahalli, Choodasandra",6.0,16.0,Unfurnished,North,1.0,Ready to Move,,False
14300000.0,1007.0,2.0,2,1,"Balagere, Bengaluru",11.0,14.0,Semi Furnished,East,5.0,Ready to Move,,False
32000000.0,2460.0,3.0,3,0,"Sadahalli, Chikballapur District",5.0,27.0,Unfurnished,Unknown,3.0,Ready to Move,,False
33000000.0,2023.0,3.0,3,1,"Kadugodi Industrial Area, Bengaluru",12.0,22.0,Semi Furnished,East,10.0,Ready to Move,,False
11000000.0,1505.0,3.0,3,1,"Nehru Nagar, Bengaluru",0.0,5.0,Semi Furnished,West,10.0,Ready to Move,,False
